Thông tin chi tiết về chi phí,Danh mục,Ngân sách,Chi phí,Ngày giao dịch,Status,Ghi chú
Số dư,Vốn,35.600.000 đ,,31/12/2024,TRUE,
Trả tiền máy sấy lần cuối,Cho gia đình,,1.560.000 đ,31/12/2024,TRUE,
Sinh nhật Khôi,Cho gia đình,,500.000 đ,02/01/2025,TRUE,
Phi dụ TN,Phi dụ,550.000 đ,,02/01/2025,TRUE,
ăn bò nướng,Ăn uống,,501.000 đ,02/01/2026,TRUE,
đổ xăng,Đi lại,,70.000 đ,02/01/2026,TRUE,
uống nước quán Đức,Ăn uống,,120.000 đ,02/01/2026,TRUE,
ăn chơi homestay,Giải trí,,200.000 đ,03/01/2026,TRUE,
tiền trọ Khôi,Cho gia đình,,2.500.000 đ,04/01/2026,TRUE,
bánh tráng trà tắc nhà Hạ,Ăn uống,,130.000 đ,04/01/2026,TRUE,
dâu,Cho gia đình,,300.000 đ,05/01/2026,TRUE,
mua cà hê,Ăn uống,,20.000 đ,06/01/2026,TRUE,
dâu,Ăn uống,,150.000 đ,06/01/2026,TRUE,
bách hoá xanh,Mua sắm,,150.000 đ,07/01/2026,TRUE,
mua ốp+ kính cl cho mẹ,Mua sắm,,115.000 đ,07/01/2026,TRUE,
dán mụn,Mua sắm,,90.000 đ,07/01/2026,TRUE,
kem rạn da,Mua sắm,,610.000 đ,08/01/2026,TRUE,
hạt cho bầu,Ăn uống,,170.000 đ,08/01/2026,TRUE,
ăn gà,Ăn uống,,50.000 đ,10/01/2026,TRUE,
lương t12,Vốn,9.200.000 đ,,10/01/2026,TRUE,
lương chồng t12,Vốn,15.000.000 đ,,10/01/2026,TRUE,
đóng hụi lần 6,Đầu tư,,4.250.000 đ,10/01/2026,TRUE,
gửi mẹ tiền ăn,Khác,,5.000.000 đ,10/01/2026,TRUE,
gửi đám cưới,Khác,,500.000 đ,10/01/2026,TRUE,
bún đậu,Ăn uống,,50.000 đ,10/01/2026,TRUE,
khám thai,Khác,,750.000 đ,10/01/2026,TRUE,
hoa khai trương quán Đức,Khác,,210.000 đ,11/01/2026,TRUE,
ốp đt,Mua sắm,,75.000 đ,11/01/2026,TRUE,
dâu của Quỳnh,Cho vay,,600.000 đ,11/01/2026,TRUE,
mua nho cho mẹ ,Cho gia đình,,200.000 đ,11/01/2026,TRUE,
cọc váy tết,Mua sắm,,100.000 đ,14/01/2026,TRUE,
bách hoá xanh,Ăn uống,,100.000 đ,14/01/2026,TRUE,
phụ mua airpod,Mua sắm,,1.500.000 đ,15/01/2026,TRUE,
Phi dụ TN,Phi dụ,2.300.000 đ,,15/01/2026,TRUE,
dâu,Ăn uống,,130.000 đ,15/01/2026,TRUE,
đổi vàng,Mua sắm,,979.000 đ,16/01/2026,TRUE,
ăn uống bò tối,Ăn uống,,550.000 đ,16/01/2026,TRUE,
bhx,Ăn uống,,80.000 đ,17/01/2026,TRUE,
mua hoa,Cho gia đình,,140.000 đ,17/01/2026,TRUE,
sắm đồ tết,Mua sắm,,1.300.000 đ,19/01/2026,TRUE,thẻ anh
áo polo,Mua sắm,,250.000 đ,19/01/2026,TRUE,
dâu,Ăn uống,,240.000 đ,20/01/2026,TRUE,
phi dụ H,Phi dụ,1.000.000 đ,,20/01/2026,TRUE,
bách hoá xanh,Ăn uống,,150.000 đ,23/01/2026,TRUE,
đổ xăng,Đi lại,,90.000 đ,23/01/2026,TRUE,
áo dài,Mua sắm,,360.000 đ,23/01/2026,TRUE,
dép,Mua sắm,,195.000 đ,24/01/2026,TRUE,
đồ tết,Mua sắm,,1.050.000 đ,24/01/2026,TRUE,
nạp 5G cho chồng,Khác,,1.200.000 đ,27/01/2026,TRUE,
sắm đồ tết ( phụ kiện ),Mua sắm,,500.000 đ,25/01/2026,TRUE,
rút tm,Khác,,200.000 đ,27/01/2026,TRUE,
sinh nhật,Ăn uống,,1.105.000 đ,27/01/2026,TRUE,
mua khẩu trang cho ngoại,Cho gia đình,,160.000 đ,28/01/2026,TRUE,
đồng hồ,Mua sắm,,400.000 đ,30/01/2026,TRUE,
mua hoa,Cho gia đình,,140.000 đ,31/01/2026,TRUE,
